visit_date,visitors_count,utm_source,utm_medium,utm_campaign,total_cost,leads_count,purchases_count,revenue
2023-06-01,103,yandex,cpc,freemium,21654,100,25,1654810
2023-06-01,78,yandex,cpc,prof-frontend,57138,73,12,1057000
2023-06-01,62,yandex,cpc,prof-python,33026,61,7,613196
2023-06-01,31,yandex,cpc,base-python,12524,28,7,476021
2023-06-01,71,vk,cpc,prof-python,2028,40,5,355564
2023-06-01,80,vk,cpc,freemium-frontend,3160,43,5,338083
2023-06-01,49,yandex,cpc,prof-java,29490,49,4,284590
2023-06-01,40,yandex,cpc,base-frontend,18061,39,3,268515
2023-06-01,51,vk,cpc,prof-java,3115,23,2,232726
2023-06-01,14,yandex,cpc,prof-data-analytics,10086,14,2,220264
2023-06-01,13,yandex,cpc,prof-professions-brand,4818,13,3,154287
2023-06-20,3,telegram,cpp,base-java,,1,1,151192
2023-06-01,4,yandex,cpc,dod-php,5964,4,1,150255
2023-06-01,4,yandex,cpc,base-professions-retarget,151,4,1,134100
2023-06-07,3,vk,social,hexlet-blog,,1,1,84000
2023-06-01,20,yandex,cpc,base-java,19252,20,1,48000
2023-06-01,6,yandex,cpc,dod-professions,,6,1,37800
2023-06-01,58,vk,cpc,base-python,2537,36,1,9072
2023-06-01,44,vk,cpc,freemium-python,980,25,1,1560
2023-06-01,49,vk,cpc,prof-data-analytics,1072,30,0,0
2023-06-01,42,vk,cpc,freemium-java,487,24,0,0
2023-06-01,17,vk,cpc,prof-frontend,,7,0,0
2023-06-01,10,vk,cpm,prof-data-analytics,385,6,0,0
2023-06-01,10,yandex,cpc,prof-professions-retarget,1714,10,0,0
2023-06-01,4,yandex,cpc,dod-java,2906,4,0,0
2023-06-01,3,yandex,cpc,dod-frontend,2871,3,0,0
2023-06-01,3,yandex,cpc,dod-python-java,,3,0,0
2023-06-01,1,telegram,cpp,prof-python,,1,0,0
2023-06-02,2,telegram,cpp,prof-frontend,,1,0,0
2023-06-03,16,vk-senler,cpc,freemium,,1,0,0
2023-06-04,31,admitad,cpa,admitad,,1,0,0
2023-06-05,5,vk,cpp,dod-php,,1,0,0
2023-06-06,1,vc,cpp,dod-frontend,,1,0,0
2023-06-06,1,vk,social,hexlet-blog,,1,0,0
2023-06-07,9,telegram,cpp,dod-java,,1,0,0
2023-06-07,7,telegram,cpp,prof-java,,1,0,0
2023-06-08,20,telegram,cpp,prof-python,,1,0,0
